album,year,cover,tracklist
Mansion Musick,2018,https://images.genius.com/40aed8574ff1a9d0275355f01be13b2b.1000x1000x1.png,"['Belieber byChiefKeef, ', 'Rawlings byChiefKeef, ', 'TV On (Big Boss) byChiefKeef, ', 'Uh Uh byChiefKeef (Ft.PlayboiCarti), ', 'Sky Say byChiefKeef (Ft.Tadoe), ', 'Hand Made byChiefKeef, ', 'Get This Money byChiefKeef, ', 'Yet byChiefKeef, ', 'Part Ways byChiefKeef, ', 'Tragedies byChiefKeef, ', 'Letter byChiefKeef, ']"
Back from the Dead 3,2018,https://images.genius.com/9894ed4e1dddab59c467f6dcda62ca84.750x750x1.jpg,"['Glatt byChiefKeef, ', 'Just What It Be Like byChiefKeef, ', 'Vietnam byChiefKeef, ', 'Bestie byChiefKeef, ', 'Baseball Bat byChiefKeef (Ft.TraySavage), ', 'Keep It Lit byChiefKeef, ', 'Gated byChiefKeef (Ft.SouljaBoy), ', 'Free Smoke byChiefKeef, ', 'Booty Call byChiefKeef, ', 'Jones Indiana byChiefKeef, ', 'Black Proud byChiefKeef, ', 'Action Figures byChiefKeef, ', 'Pharrell byChiefKeef, ']"
The Leek vol 6,2018,https://images.genius.com/7e1eccc226cf80ea0cce410b23c86ab0.600x600x1.jpg,"['OK Koolaid byChiefKeef, ', 'D-Line byChiefKeef, ', 'Getting Dough byChiefKeef, ', 'Silly byChiefKeef (Ft.Tadoe), ', 'Kongoz byChiefKeef (Ft.Tadoe), ', 'Coulda Bought a Jet byChiefKeef (Ft.OJda Juiceman), ', 'Red byChiefKeef, ', 'GLO byChiefKeef (Ft.Tadoe), ', 'Call Me What U Want byChiefKeef (Ft.Tadoe), ', 'Have My Baby byChiefKeef, ', 'Mix It Up byChiefKeef, ', 'Lots of Thots byChiefKeef (Ft.Ballout), ']"
The Leek vol 7,2019,https://images.genius.com/68710f76b701df08743d64265a37c7a3.1000x1000x1.jpg,"['High As Fuck byChiefKeef, ', 'Jet Li byChiefKeef (Ft.GucciMane), ', 'Eat byChiefKeef, ', 'Zero to 250 byChiefKeef, ', 'Bands byChiefKeef, ', 'A$AP Rocky byChiefKeef, ', 'Fair byChiefKeef, ', 'Sleepy byChiefKeef, ', 'Worries byChiefKeef, ', 'Wet byChiefKeef, ', 'Where byChiefKeef, ', 'Need It byChiefKeef, ']"
Glotoven,2019,https://images.genius.com/4d7cd3b27b3e3d2368bef1b2f431ecb6.600x600x1.png,"['3rd Person byChiefKeef & Zaytoven, ', 'Old Heads and Regretful Hoes (Original) byChiefKeef & Zaytoven (Ft.LilPump), ', 'Batman byChiefKeef & Zaytoven, ', ""Ain't Gonna Happen byChiefKeef & Zaytoven, "", 'Fast byChiefKeef & Zaytoven, ', 'Spy Kid byChiefKeef & Zaytoven, ', 'F What the Opp Said byChiefKeef & Zaytoven, ', 'Petty byChiefKeef & Zaytoven, ', 'Han Han byChiefKeef & Zaytoven, ', 'Posse byChiefKeef & Zaytoven, ', 'Sneeze byChiefKeef & Zaytoven, ', 'What Can I Say byChiefKeef & Zaytoven, ']"
Camp Glotiggy,2016,https://images.genius.com/86b2d24f040892e355223447105b4e8b.1000x1000x1.jpg,"['Adam and Eve byChiefKeef, ', 'Again byChiefKeef, ', 'Handles byChiefKeef, ', 'Ganga byChiefKeef, ', 'Masturbation byChiefKeef, ', 'My Shit byChiefKeef, ', 'What Was It byChiefKeef, ', 'Kool-Aid byChiefKeef, ', 'What Up byChiefKeef, ', 'Fat byChiefKeef, ', 'Call Me byChiefKeef, ', 'Got byChiefKeef, ', 'Beethoven byChiefKeef, ', 'Dakota byChiefKeef, ', 'Opponent byChiefKeef, ', 'Rap About It byChiefKeef, ', 'Check It Out byChiefKeef, ', 'X-Men byChiefKeef, ']"
the Leek vol 8,2019,https://images.genius.com/ecb9a91b884619010c97a011c398b2db.800x800x1.png,"[""PT's byChiefKeef, "", ""I Ain't Think byChiefKeef, "", 'Roadrunner byChiefKeef, ', ""Ain't Even Know byChiefKeef, "", ""Don't Love Her byChiefKeef, "", 'Shifu byChiefKeef, ', 'True byChiefKeef, ', 'Bag byChiefKeef, ', 'Doin It byChiefKeef, ', 'Runnin byChiefKeef, ', 'Know She Does byChiefKeef, ', 'Haten byChiefKeef, ']"
the GloFiles pt3,2019,https://images.genius.com/33f6a00f3af54eb069fa52876fbb35b3.1000x1000x1.png,"['Glo Gang Arena byChiefKeef, ', 'Flu byChiefKeef, ', 'All In / Rolls byChiefKeef, ', 'Thotty Party byChiefKeef, ', 'Redbull byChiefKeef, ', 'On the Corner byChiefKeef, ', 'Love Me byChiefKeef, ', 'Shorties byChiefKeef, ', 'Swerve byChiefKeef, ', 'TEC byChiefKeef (Ft.Tadoe), ', 'Side byChiefKeef, ', ""T'd byChiefKeef, ""]"
the GloFiles pt4,2020,https://images.genius.com/5ee8ad50af4c9170a291dd3e2e2e6fb4.1000x1000x1.jpg,"['G Unit byChiefKeef, ', 'Ignorant byChiefKeef, ', 'MCM byChiefKeef, ', 'Crazy byChiefKeef, ', '4ever byChiefKeef, ', 'OFF WIT HIS HEAD byChiefKeef, ', 'Don�t Wanna Be U byChiefKeef, ', 'In It byChiefKeef, ', 'Tomorrow byChiefKeef, ', 'CUSSIN byChiefKeef, ', 'Raw byChiefKeef, ', 'NASCAR byChiefKeef, ']"
4NEM,2021,https://images.genius.com/8cf0d4972215eb5b472b56470d15f5dd.1000x1000x1.png,"['Bitch Where byChiefKeef, ', 'Tuxedo byChiefKeef (Ft.Tadoe), ', 'See Through byChiefKeef, ', 'Say I Ain�t Pick Yo Weak Ass Up byChiefKeef (Ft.Ballout), ', 'Like It�s Yo Job byChiefKeef, ', 'Ice Cream Man byChiefKeef, ', 'Wazzup byChiefKeef, ', 'The Talk byChiefKeef, ', 'Shady byChiefKeef, ', 'Yes Sir byChiefKeef, ', ""I Don't Think They Love Me byChiefKeef, "", 'Hurry B4 The Gate Close byChiefKeef, ', 'Hadouken byChiefKeef, ', 'On What byChiefKeef, ', 'Picking Big Sean Up byChiefKeef, ']"
Dirty Nachos,2024,https://images.genius.com/4cabe87958ab0a9323fffe466ea7a7a4.999x999x1.png,"['INTRO byChiefKeef & Mike WiLL Made-It, ', '2 TIMES byChiefKeef & Mike WiLL Made-It, ', 'DIRTY NACHOS byChiefKeef & Mike WiLL Made-It, ', 'DOJA byChiefKeef & Mike WiLL Made-It, ', 'RIDICULOUSNESS byChiefKeef & Mike WiLL Made-It (Ft.Ballout), ', 'PULL UP GHOST-CLAN byChiefKeef & Mike WiLL Made-It (Ft.2Chainz), ', 'DAMN SHORTY byChiefKeef & Mike WiLL Made-It (Ft.SexyyRed), ', 'WHY YOU MAD byChiefKeef & Mike WiLL Made-It, ', 'WATCH FOR THE PIGS byChiefKeef & Mike WiLL Made-It, ', 'CHARGED UP byChiefKeef & Mike WiLL Made-It, ', 'PROMENADE byChiefKeef & Mike WiLL Made-It, ', 'BEWARE OF DOGS byChiefKeef & Mike WiLL Made-It, ', 'GIRL WOO byChiefKeef & Mike WiLL Made-It, ', 'PLAYER IN ME byChiefKeef & Mike WiLL Made-It, ', ""LOVE DON'T LIVE HERE byChiefKeef & Mike WiLL Made-It, "", 'Status byChiefKeef & Mike WiLL Made-It, ', 'HARLEY QUINN byChiefKeef & Mike WiLL Made-It, ', 'BANG BANG byChiefKeef & Mike WiLL Made-It, ']"
Almighty So 2,2024,https://images.genius.com/0d21a9ca837debc8d77eba68d5c74e51.1000x1000x1.png,"['Almighty (Intro) byChiefKeef, ', 'Neph Nem byChiefKeef (Ft.Ballout & GHerbo), ', 'Treat Myself byChiefKeef, ', 'Jesus Skit byChiefKeef, ', 'Jesus byChiefKeef (Ft.LilGnar), ', 'Too Trim byChiefKeef, ', 'Runner byChiefKeef, ', 'Banded Up byChiefKeef (Ft.TierraWhack), ', 'Grape Trees byChiefKeef (Ft.SexyyRed), ', '1,2,3 byChiefKeef, ', 'Drifting Away byChiefKeef, ', 'Never Fly Here byChiefKeef (Ft.Quavo), ', 'Prince Charming byChiefKeef, ', 'Believe byChiefKeef, ', 'Tony Montana Flow byChiefKeef, ', ""I'm Tryna Sleep byChiefKeef, ""]"
